campaign_name,start_date,end_date,budget,roi,type,target_audience,channel,conversion_rate,revenue,duracionCampaña,roiAjustado,eficienciaCosto,estacionesInicio,mesInicio,roiDiario
public-key multi-tasking throughput,2023-04-01,2024-02-23,8082.3,0.35,email,B2B,organic,0.4,709593.48,328.0,-327.65,701511.1799999999,2.0,April,0.0010670731707317072
de-engineered analyzing task-force,2023-02-15,2024-04-22,17712.98,0.74,email,B2C,promotion,0.66,516609.1,432.0,-431.26,498896.12,1.0,February,0.001712962962962963
balanced solution-oriented local area network,2022-12-20,2023-10-11,84643.1,0.37,podcast,B2B,paid,0.28,458227.42,295.0,-294.63,373584.31999999995,4.0,December,0.0012542372881355931
distributed real-time methodology,2022-09-26,2023-09-27,14589.75,0.47,webinar,B2B,organic,0.19,89958.73,366.0,-365.53,75368.98,3.0,September,0.0012841530054644808
front-line executive infrastructure,2023-07-07,2024-05-15,39291.9,0.3,social media,B2B,promotion,0.81,47511.35,313.0,-312.7,8219.449999999997,3.0,July,0.0009584664536741213
upgradable transitional data-warehouse,2023-06-29,2023-12-13,75569.28,0.59,social media,B2C,referral,0.67,558302.11,167.0,-166.41,482732.82999999996,2.0,June,0.003532934131736527
innovative context-sensitive framework,2023-03-01,2024-02-23,28964.45,0.59,email,B2C,referral,0.17,172882.59,359.0,-358.41,143918.13999999998,1.0,March,0.0016434540389972145
user-friendly client-driven service-desk,2023-01-06,2023-12-11,36800.58,0.4,webinar,B2C,promotion,0.52,206241.46,339.0,-338.6,169440.88,1.0,January,0.0011799410029498525
proactive neutral methodology,2022-09-06,2024-01-11,40493.88,0.16,webinar,B2C,organic,0.47,734755.76,492.0,-491.84,694261.88,3.0,September,0.0003252032520325203
intuitive responsive support,2022-11-25,2024-04-04,1816.22,0.81,social media,B2C,referral,0.85,563280.3,496.0,-495.19,561464.0800000001,4.0,November,0.0016330645161290324
multi-lateral dedicated workforce,2023-06-15,2024-06-15,94084.21,0.58,podcast,B2B,referral,0.23,406522.77,366.0,-365.42,312438.56,2.0,June,0.0015846994535519126
